,rank_2022,university,score_2022,link,country,city,region,logo,rank_2021,score_2021,rank_2020,score_2020,rank_2019,score_2019,rank_2018,score_2018,rank_2017,score_2017,Latitude,Longitude,Location,score_2022_2
0,1,Massachusetts Institute of Technology (MIT) ,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,1,100,1,100,1,100,1,100,1,100,42.360091,-71.09416,"42.360091,-71.09416",100
1,2,University of Oxford,99.5,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,5,96.7,4,97.2,5,96.8,6,95.3,6,96.8,51.7548164,-1.2543668,"51.7548164,-1.2543668",99.5
2,3,Stanford University,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,2,98.4,2,98.4,2,98.6,2,98.7,2,98.7,37.4274745,-122.169719,"37.4274745,-122.169719",98.7
3,3,University of Cambridge,98.7,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,7,94.3,7,95,6,95.6,5,95.6,4,97.2,52.2042666,0.1149085,"52.2042666,0.1149085",98.7
4,5,Harvard University,98,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,3,97.9,3,97.4,3,98.5,3,98.4,3,98.3,42.3770029,-71.1166601,"42.3770029,-71.1166601",98
5,6,California Institute of Technology (Caltech),97.4,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,4,97,5,96.9,4,97.2,4,97.7,5,96.9,34.1376576,-118.125269,"34.1376576,-118.125269",97.4
6,7,Imperial College London,97.3,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,8,93.6,9,94.1,8,93.3,8,93.7,9,94.1,51.4988222,-0.1748735,"51.4988222,-0.1748735",97.3
7,8,ETH Zurich - Swiss Federal Institute of Technology,95.4,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,6,95,6,95.9,7,95.3,10,93.3,8,94.2,47.3763889,8.547628,"47.3763889,8.547628",95.4
8,8,UCL,95.4,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,10,92.9,8,94.8,10,92.9,7,94.6,7,95.6,51.52470604,-0.134018644,"51.52470603507018, -0.13401864403661146",95.4
9,10,University of Chicago,94.5,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,9,93.1,10,92,9,93.2,9,93.5,10,93,41.7886079,-87.5987133,"41.7886079,-87.5987133",94.5
10,11,National University of Singapore (NUS),93.9,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,11,91.5,11,91.8,11,92,15,90.5,12,91.5,1.2966426,103.7763939,"1.2966426,103.7763939",93.9
11,12,"Nanyang Technological University, Singapore (NTU)",90.8,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,13,89.9,11,91.8,12,91.3,11,92.2,13,91.4,1.3483099,103.6831347,"1.3483099,103.6831347",90.8
12,13,University of Pennsylvania,90.7,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,16,88.6,15,88.9,19,86.5,19,88.7,18,89,39.9522188,-75.1932137,"39.9522188,-75.1932137",90.7
13,14,EPFL,90.2,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,14,89.6,18,87.4,22,85.8,12,91.2,14,91.1,"46.519062554368766,",6.566752297,"46.519062554368766, 6.566752296946016",90.2
14,14,Yale University,90.2,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,17,88,17,87.7,15,89.6,16,90.4,15,90.9,41.3163244,-72.9223431,"41.3163244,-72.9223431",90.2
15,16,The University of Edinburgh,89.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,20,85.8,20,86.2,18,86.9,23,86.9,19,88.9,55.9445158,-3.1892413,"55.9445158,-3.1892413",89.9
16,17,Tsinghua University,89,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,15,89.2,16,88.6,17,87.2,25,85.6,24,86,39.9996674,116.3264439,"39.9996674,116.3264439",89
17,18,Peking University,88.8,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,23,83.5,22,84.3,30,82.6,38,80.8,39,81.3,39.986913,116.3058739,"39.986913,116.3058739",88.8
18,19,Columbia University,88.7,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/211112094012am25532422IKNS031-Banner-Ads-Topuniversities.com-200x200-v02-48x48.jpg,19,86.5,18,87.4,16,88.5,18,88.9,20,88.6,40.8075355,-73.9625727,"40.8075355,-73.9625727",88.7
19,20,Princeton University,88.6,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,12,91,13,90.9,13,90.9,13,91,11,92.8,40.3430942,-74.6550739,"40.3430942,-74.6550739",88.6
